"sample_name","read_num_2"
"l1_f",14937419
"l1_r",14937419
"l2_f",15767273
"l2_r",15767273
"l3_f",20021476
"l3_r",20021476
"l4_f",14149164
"l4_r",14149164
"l5_f",13629040
"l5_r",13629040
"l6_f",17864918
"l6_r",17864918
"l7_f",14248903
"l7_r",14248903
"l8_f",19805089
"l8_r",19805089
"l9_f",18693390
"l9_r",18693390
"l10_f",17480736
"l10_r",17480736
"l11_f",16719180
"l11_r",16719180
"l12_f",17442673
"l12_r",17442673
"p1_f",18533341
"p1_r",18533341
"p2_f",16111835
"p2_r",16111835
"p3_f",13645090
"p3_r",13645090
"s1_f",16873551
"s1_r",16873551
"s2_f",17879264
"s2_r",17879264
"s3_f",13187635
"s3_r",13187635
"rh1_f",16303377
"rh1_r",16303377
"rh2_f",13693331
"rh2_r",13693331
"rh3_f",18890221
"rh3_r",18890221
"r1_f",13590116
"r1_r",13590116
"r2_f",15751739
"r2_r",15751739
"r3_f",19852133
"r3_r",19852133
