"query","subject","identity_perc","alignment_len","mismatch_num","gap_num","query_start","query_end","subject_start","subject_end","expect","score"
"AT1G51360","TRINITY_DN100009_c0_g1_i2_2_4173_460",38.298,47,28,1,115,161,13,58,2,30
"AT1G51330","TRINITY_DN100017_c0_g1_i1_2_3342_451",50,24,12,0,34,57,437,460,3.8,28.9
"AT1G73450","TRINITY_DN100003_c0_g1_i4_1_835_260",37.349,166,98,3,987,1146,27,192,6.65e-24,103
"AT1G74720","TRINITY_DN100002_c0_g1_i2_1_299_3421",66.544,1088,285,17,8,1081,19,1041,0,1384
"AT1G73460","TRINITY_DN100003_c0_g1_i4_1_835_260",37.349,166,98,3,1004,1163,27,192,6.88e-24,103
"AT1G70790","TRINITY_DN100002_c0_g1_i2_1_299_3421",32.143,56,34,1,26,77,53,108,0.003,38.5
"AT1G12620","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.466,541,387,0,54,594,228,768,1.03e-76,263
"AT1G75170","TRINITY_DN100023_c0_g1_i3_2_2612_1296",30.83,253,128,13,20,242,101,336,1.62e-13,70.9
"AT1G74750","TRINITY_DN100008_c0_g2_i1_1_534_2876",30.458,371,248,6,380,745,267,632,7.8e-39,155
"AT1G70810","TRINITY_DN100002_c0_g1_i3_1_299_3406",32.075,53,32,1,25,73,53,105,0.027,35
"AT1G65580","TRINITY_DN100007_c0_g1_i3_1_1800_340",28.8,125,57,6,143,253,132,238,4.2,32
"AT1G70800","TRINITY_DN100002_c0_g1_i3_1_299_3406",35.484,62,35,2,26,82,44,105,0.000421,40.8
"AT1G55890","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.006,326,250,1,54,379,261,585,1.01e-26,113
"AT1G77360","TRINITY_DN100008_c0_g2_i1_1_534_2876",27.554,323,232,2,167,487,350,672,8.19e-43,163
"AT1G12600","TRINITY_DN100010_c0_g1_i2_1_213_2081",63.158,19,7,0,77,95,358,376,3.6,30
"AT1G77340","TRINITY_DN100008_c0_g2_i1_1_534_2876",31.295,278,190,1,123,399,389,666,1.94e-49,179
"AT1G77400","TRINITY_DN100022_c7_g1_i6_1_1704_2192",25.974,77,52,3,14,89,58,130,2.9,28.9
"AT1G77405","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.255,361,195,6,110,420,141,487,3.95e-30,124
"AT1G74850","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.984,492,373,1,139,630,279,769,6.44e-48,183
"AT1G73580","TRINITY_DN100002_c0_g1_i3_1_299_3406",32.857,70,47,0,8,77,629,698,1.26e-05,45.1
"AT1G74940","TRINITY_DN100002_c0_g1_i3_1_299_3406",41.86,43,24,1,108,149,161,203,7.2,28.5
"AT1G70980","TRINITY_DN100022_c2_g1_i4_1_2_1636",27.586,58,42,0,506,563,482,539,0.12,35.8
"AT1G51170","TRINITY_DN100003_c0_g1_i2_1_1060_611",34,50,33,0,241,290,43,92,0.004,38.1
"AT1G74900","TRINITY_DN100008_c0_g2_i1_1_534_2876",28.571,301,214,1,117,416,272,572,4.9e-41,157
"AT1G10910","TRINITY_DN100008_c0_g2_i1_1_534_2876",25.849,383,281,3,74,454,222,603,7.92e-33,135
"AT1G75020","TRINITY_DN100016_c0_g1_i1_1_1385_213",62.568,366,136,1,1,365,11,376,3.54e-168,480
"AT1G31840","TRINITY_DN100008_c0_g2_i1_1_534_2876",29.048,630,398,7,186,807,179,767,1.03e-75,265
"AT1G77460","TRINITY_DN100002_c0_g1_i3_1_299_3406",27.778,72,45,2,1995,2060,612,682,7.4,32.3
"AT1G74990","TRINITY_DN100000_c0_g1_i1_1_76_1308",29.167,72,41,3,6,69,339,408,1.6,29.3
"AT1G09680","TRINITY_DN100008_c0_g2_i1_1_534_2876",30.033,606,345,5,76,607,121,721,3.83e-88,293
"AT1G15930","TRINITY_DN100002_c0_g1_i2_1_299_3421",28.049,82,49,2,5,77,474,554,8.4,27.3
"AT1G51260","TRINITY_DN100016_c0_g1_i1_1_1385_213",30.375,293,194,5,4,291,27,314,1.89e-38,144
"AT1G13195","TRINITY_DN100009_c0_g1_i2_2_4173_460",26.923,78,42,5,139,202,163,239,5.6,29.3
"AT1G55680","TRINITY_DN100007_c0_g1_i3_1_1800_340",22.917,144,97,4,233,366,212,351,0.29,34.3
"AT1G49450","TRINITY_DN100007_c0_g1_i3_1_1800_340",29.902,204,109,8,244,423,155,348,9e-12,67.4
"AT1G07590","TRINITY_DN100008_c0_g2_i1_1_534_2876",23.592,373,236,7,167,533,212,541,1.17e-15,80.9
"AT1G19650","TRINITY_DN100023_c0_g1_i3_2_2612_1296",46.97,330,166,2,49,378,72,392,6.58e-111,343
"AT1G55690","TRINITY_DN100023_c0_g1_i3_2_2612_1296",47.297,296,150,3,45,340,72,361,1.02e-91,294
"AT1G77760","TRINITY_DN100020_c0_g1_i3_1_86_1510",37.5,88,52,2,534,619,21,107,2.76e-08,57.8
"AT1G68820","TRINITY_DN100000_c0_g1_i1_1_76_1308",27.778,72,45,2,403,467,339,410,0.063,36.2
"AT1G73400","TRINITY_DN100008_c0_g2_i1_1_534_2876",25.214,468,287,12,128,540,127,586,5.57e-32,132
"AT1G14820","TRINITY_DN100023_c0_g1_i3_2_2612_1296",24.786,234,157,8,27,244,121,351,2.34e-07,51.6
