"contig_id_orf","contig","length_orf","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","p1","p2","p3","s1","s2","s3","rh1","rh2","rh3","r1","r2","r3"
"mc1","TRINITY_DN100000_c0_g1_i1_1_76_1308",1233,224,255,340,185,214,248,194,371,294,283,340,356,409,280,188,328,372,254,378,268,383,376,419,474
"mc2","TRINITY_DN100000_c0_g1_i2_1_55_1236",1182,231,253,350,180,225,257,183,347,266,276,323,340,422,290,180,325,348,258,367,252,352,364,395,447
"mc3","TRINITY_DN100001_c8_g1_i2_1_209_667",459,5,24,10,5,12,14,5,12,13,10,12,11,36,29,26,27,33,24,28,43,44,15,21,22
"mc4","TRINITY_DN100001_c8_g1_i3_1_501_1",501,15,12,32,8,12,19,8,22,28,24,26,20,41,34,34,52,48,40,68,55,81,28,31,35
"mc5","TRINITY_DN100001_c8_g1_i4_1_135_1037",903,365,401,446,223,275,238,617,515,529,587,447,558,381,393,148,293,337,229,275,196,238,95,130,114
"mc6","TRINITY_DN100001_c8_g1_i5_1_501_1",501,15,12,32,8,12,19,8,22,28,24,26,20,41,34,34,52,48,40,68,55,81,28,31,35
"mc7","TRINITY_DN100001_c8_g1_i7_1_501_1",501,15,12,32,8,12,19,8,22,28,24,26,20,41,34,34,52,48,40,68,55,81,28,31,35
"mc8","TRINITY_DN100001_c8_g1_i8_1_135_1100",966,378,437,462,231,296,245,663,563,593,623,480,614,400,410,166,319,361,246,290,205,251,100,141,122
"mc9","TRINITY_DN100001_c8_g3_i1_1_92_832",741,675,627,843,469,363,350,783,1212,994,1090,955,904,170,161,188,129,152,94,19,39,46,14,27,16
"mc10","TRINITY_DN100001_c8_g5_i2_1_946_1464",519,15,14,23,14,20,25,44,52,50,29,39,52,109,87,75,113,170,102,150,130,192,117,110,172
"mc11","TRINITY_DN100001_c8_g5_i2_2_1081_434",648,38,51,44,43,38,83,83,111,121,87,80,134,220,174,177,367,384,261,393,306,488,300,271,416
"mc12","TRINITY_DN100002_c0_g1_i2_1_299_3421",3123,315,246,255,225,290,252,380,292,350,338,332,301,335,276,367,311,243,138,166,213,296,49,55,100
"mc13","TRINITY_DN100002_c0_g1_i2_2_3406_2933",474,51,39,35,30,53,36,47,44,45,34,52,60,79,63,67,38,44,23,21,24,55,10,13,16
"mc14","TRINITY_DN100002_c0_g1_i2_3_2897_2388",510,30,28,29,31,43,28,22,26,39,29,36,29,37,48,37,31,18,13,24,22,29,5,4,5
"mc15","TRINITY_DN100002_c0_g1_i2_4_2364_1726",639,21,16,18,30,27,25,17,10,16,12,14,10,16,17,21,13,20,8,7,9,14,1,1,5
"mc16","TRINITY_DN100002_c0_g1_i3_1_299_3406",3108,430,339,347,290,386,347,500,423,473,482,460,434,380,332,467,444,305,171,227,303,411,71,75,146
"mc17","TRINITY_DN100002_c0_g1_i3_2_3391_2918",474,51,39,35,30,53,36,47,44,45,34,52,60,79,63,67,38,44,23,21,24,55,10,13,16
"mc18","TRINITY_DN100002_c0_g1_i3_3_2349_1807",543,35,30,34,33,43,40,30,22,34,29,39,28,30,32,32,32,25,14,18,17,28,10,4,8
"mc19","TRINITY_DN100003_c0_g1_i2_1_1060_611",450,7,14,6,24,10,15,17,15,25,18,16,20,18,18,8,9,16,4,7,14,12,16,14,16
"mc20","TRINITY_DN100003_c0_g1_i4_1_835_260",576,24,74,60,72,38,52,54,55,62,70,66,113,80,69,39,43,50,32,51,36,52,39,46,46
"mc21","TRINITY_DN100003_c0_g1_i6_1_5361_4873",489,8,19,21,16,13,19,11,11,14,11,30,14,27,12,7,12,16,11,18,14,15,9,14,13
"mc22","TRINITY_DN100003_c0_g1_i8_1_5273_4785",489,8,19,21,16,13,19,11,11,14,11,30,14,27,12,7,12,16,11,18,14,15,9,14,13
"mc23","TRINITY_DN100003_c0_g1_i8_2_4159_3698",462,5,9,10,3,8,8,2,10,13,10,10,15,6,12,7,6,6,4,3,5,9,7,14,11
"mc24","TRINITY_DN100004_c2_g1_i1_1_1_777",777,205,192,275,201,209,236,207,221,210,250,247,142,387,324,239,231,295,210,262,182,246,157,174,242
